Temperature, K;NP(LIQUID),mol;NP(BCC_A2),mol;NP(FCC_A1#1),mol;NP(FCC..AUTO#2),mol;NP(M23C6),mol;NP(M6C),mol
800.0;;0.7965503;;0.02129553;0.09426152;0.08789262
810.0;;0.7964301;;0.02130245;0.09403771;0.08822972
820.0;;0.7963159;;0.02131421;0.09379951;0.08857033
830.0;;0.7962082;;0.02133094;0.09354705;0.08891377
840.0;;0.7961074;;0.02135272;0.09328045;0.08925944
850.0;;0.7960138;;0.02137964;0.09299983;0.08960672
860.0;;0.7959279;;0.02141176;0.09270531;0.08995508
870.0;;0.79585;;0.02144911;0.09239695;0.09030397
880.0;;0.7957806;;0.02149174;0.09207479;0.0906529
890.0;;0.7957201;;0.02153967;0.09173885;0.09100137
900.0;;0.7956691;;0.02159293;0.09138907;0.0913489
910.0;;0.7956281;;0.02165154;0.09102535;0.09169499
920.0;;0.7955978;;0.02171555;0.0906475;0.0920391
930.0;;0.795579;;0.02178499;0.09025528;0.09238069
940.0;;0.7955726;;0.02185992;0.08984832;0.09271912
950.0;;0.7955797;;0.02194044;0.08942619;0.09305369
960.0;;0.7956014;;0.02202667;0.08898832;0.09338359
970.0;;0.7956393;;0.02211875;0.08853402;0.09370789
980.0;;0.7956952;;0.02221689;0.08806245;0.09402548
990.0;;0.7957709;;0.02232135;0.08757262;0.09433509
1000.0;;0.795869;;0.02243246;0.08706336;0.09463518
1010.0;;0.7959921;;0.0225506;0.08653328;0.09492401
1020.0;;0.7961435;;0.02267626;0.08598079;0.09519947
1030.0;;0.7963268;;0.02281001;0.08540403;0.09545914
1040.0;;0.7965229;;0.02293989;0.08481734;0.09571982
1050.0;;0.7967169;;0.02305657;0.08423057;0.09599599
1060.0;;0.7969274;;0.02316888;0.08362988;0.09627384
1070.0;;0.7971564;;0.02327624;0.08301368;0.09655372
1080.0;;0.7974058;;0.02337805;0.08238025;0.09683594
1090.0;;0.7976778;;0.02347373;0.08172773;0.09712074
1093.153;;0.7977687;;0.02350254;0.0815177;0.09721112
1094.737;;0.7978153;;0.02351675;0.08141134;0.09725664
1096.322;;0.7978626;;0.02353079;0.08130443;0.09730223
1097.906;;0.7979105;;0.02354465;0.08119695;0.0973479
1097.914;;0.7979107;;0.02354472;0.08119641;0.09734813
1097.922;;0.797911;;0.02354479;0.08119587;0.09734835
1098.022;;0.797914;0.0;0.02354566;0.08118907;0.09735124
1100.0;;0.6323332;0.1729433;0.02303263;0.07118412;0.1005067
1102.752;;0.3915115;0.4236787;0.02233613;0.0573833;0.1050904
1104.135;;0.2665585;0.5534463;0.02199557;0.05052655;0.1074731
1105.518;;0.1394639;0.68523;0.02166242;0.04374013;0.1099035
1106.901;;0.01066279;0.8185844;0.02133746;0.03703891;0.1123764
1106.908;;0.01001593;0.8192537;0.02133586;0.03700568;0.1123889
1106.914;;0.009368396;0.8199236;0.02133426;0.03697241;0.1124013
1107.014;;0.0;0.8296156;0.0213111;0.03649162;0.1125817
1110.0;;;0.830443;0.02128825;0.03544575;0.112823
1120.0;;;0.8333253;0.02120354;0.03184695;0.1136242
1130.0;;;0.8363847;0.0211058;0.02809736;0.1144121
1140.0;;;0.8396297;0.02099442;0.02419238;0.1151835
1150.0;;;0.8430688;0.02086875;0.02012723;0.1159353
1160.0;;;0.8467111;0.02072811;0.01589687;0.1166639
1170.0;;;0.8505663;0.02057176;0.011496;0.117366
1180.0;;;0.8546443;0.02039888;0.006919014;0.1180378
1190.0;;;0.8589556;0.02020859;0.002159986;0.1186758
1191.717;;;0.8597201;0.0201741;0.001324178;0.1187817
1192.58;;;0.8601069;0.02015657;0.0009020685;0.1188344
1193.442;;;0.8604957;0.02013889;0.0004785453;0.1188869
1194.305;;;0.8608862;0.02012108;5.360361e-05;0.1189391
1194.309;;;0.8608882;0.02012099;5.147746e-05;0.1189393
1194.314;;;0.8608902;0.0201209;4.934914e-05;0.1189396
1194.414;;;0.8609356;0.02011883;0.0;0.1189456
1195.98;;;0.8610816;0.02002634;;0.118892
1197.98;;;0.8612701;0.01990755;;0.1188224
1199.98;;;0.8614607;0.019788;;0.1187513
1199.99;;;0.8614616;0.0197874;;0.118751
1200.0;;;0.8614626;0.0197868;;0.1187506
1200.0;;;0.8614626;0.0197868;;0.1187506
1200.01;;;0.8614635;0.0197862;;0.1187503
1200.02;;;0.8614645;0.0197856;;0.1187499
1202.02;;;0.8616572;0.01966525;;0.1186775
1204.02;;;0.8618522;0.0195441;;0.1186037
1206.02;;;0.8620492;0.01942216;;0.1185286
1210.0;;;0.8624479;0.0191771;;0.118375
1220.0;;;0.8634883;0.01854693;;0.1179648
1230.0;;;0.864585;0.01789535;;0.1175197
1240.0;;;0.8657392;0.0172214;;0.1170394
1250.0;;;0.8669524;0.01652404;;0.1165236
1260.0;;;0.8682256;0.01580221;;0.1159722
1270.0;;;0.8695602;0.0150548;;0.115385
1280.0;;;0.8709573;0.01428066;;0.1147621
