"X(ZN)", "AC(ZN)"
  1.00000E-02,  2.11626E-02
  1.00200E-02,  2.12043E-02
  1.00400E-02,  2.12460E-02
  1.40400E-02,  2.95314E-02
  1.80400E-02,  3.77172E-02
  2.20400E-02,  4.58047E-02
  3.00000E-02,  6.16126E-02
  5.00000E-02,  9.97154E-02
  7.00000E-02,  1.35644E-01
  9.00000E-02,  1.69559E-01
  1.10000E-01,  2.01610E-01
  1.30000E-01,  2.31937E-01
  1.50000E-01,  2.60670E-01
  1.70000E-01,  2.87931E-01
  1.90000E-01,  3.13832E-01
  2.10000E-01,  3.38480E-01
  2.30000E-01,  3.61974E-01
  2.50000E-01,  3.84407E-01
  2.70000E-01,  4.05866E-01
  2.90000E-01,  4.26432E-01
  3.10000E-01,  4.46183E-01
  3.30000E-01,  4.65189E-01
  3.50000E-01,  4.83520E-01
  3.70000E-01,  5.01238E-01
  3.90000E-01,  5.18405E-01
  4.10000E-01,  5.35076E-01
  4.30000E-01,  5.51307E-01
  4.50000E-01,  5.67149E-01
  4.70000E-01,  5.82649E-01
  4.90000E-01,  5.97855E-01
  5.10000E-01,  6.12811E-01
  5.30000E-01,  6.27559E-01
  5.50000E-01,  6.42139E-01
  5.70000E-01,  6.56591E-01
  5.90000E-01,  6.70952E-01
  6.10000E-01,  6.85258E-01
  6.30000E-01,  6.99546E-01
  6.50000E-01,  7.13847E-01
  6.70000E-01,  7.28198E-01
  6.90000E-01,  7.42628E-01
  7.10000E-01,  7.57172E-01
  7.30000E-01,  7.71860E-01
  7.50000E-01,  7.86724E-01
  7.70000E-01,  8.01794E-01
  7.90000E-01,  8.17102E-01
  8.10000E-01,  8.32677E-01
  8.30000E-01,  8.48551E-01
  8.50000E-01,  8.64755E-01
  8.70000E-01,  8.81319E-01
  8.90000E-01,  8.98275E-01
  9.10000E-01,  9.15655E-01
  9.30000E-01,  9.33492E-01
  9.50000E-01,  9.51818E-01
  9.70000E-01,  9.70668E-01
  9.90000E-01,  9.90076E-01
  1.00000E+00,  1.00000E+00
  1.00000E-02,  2.11626E-02
  9.98000E-03,  2.11209E-02
  9.96002E-03,  2.10793E-02
  5.96002E-03,  1.26905E-02
  1.96002E-03,  4.19894E-03
  1.10000E-12,  8.69517E-13
